"district_sequence","district_name","prefecture_id","prefecture_name"
"10","北海道地方","110","北海道"
"20","東北地方","210","青森県"
"20","東北地方","220","岩手県"
"20","東北地方","230","秋田県"
"20","東北地方","240","宮城県"
"20","東北地方","250","山形県"
"20","東北地方","260","福島県"
"30","関東地方","310","茨城県"
"30","関東地方","320","栃木県"
"30","関東地方","330","群馬県"
"30","関東地方","340","埼玉県"
"30","関東地方","350","千葉県"
"30","関東地方","360","東京都"
"30","関東地方","370","神奈川県"
"40","中部地方","410","新潟県"
"40","中部地方","420","富山県"
"40","中部地方","430","石川県"
"40","中部地方","440","福井県"
"40","中部地方","450","山梨県"
"40","中部地方","460","長野県"
"40","中部地方","470","岐阜県"
"40","中部地方","480","静岡県"
"40","中部地方","490","愛知県"
"50","近畿地方","510","三重県"
"50","近畿地方","520","滋賀県"
"50","近畿地方","530","京都府"
"50","近畿地方","540","大阪府"
"50","近畿地方","550","兵庫県"
"50","近畿地方","560","奈良県"
"50","近畿地方","570","和歌山県"
"60","中国地方","610","鳥取県"
"60","中国地方","620","島根県"
"60","中国地方","630","岡山県"
"60","中国地方","640","広島県"
"60","中国地方","650","山口県"
"70","四国地方","710","徳島県"
"70","四国地方","720","香川県"
"70","四国地方","730","愛媛県"
"70","四国地方","740","高知県"
"80","九州地方","810","福岡県"
"80","九州地方","820","佐賀県"
"80","九州地方","830","長崎県"
"80","九州地方","840","熊本県"
"80","九州地方","850","大分県"
"80","九州地方","860","宮崎県"
"80","九州地方","870","鹿児島県"
"90","沖縄地方","910","沖縄県"
